Cockatrice Eye,Dragon Head,Lich Skull,Unicorn Horn,Zombie Hand,Tax Assessed
0,2,0,3,0,18 gp 9 sp
0,2,0,3,0,18 gp 9 sp
0,2,0,3,0,18 gp 9 sp
0,1,0,2,0,5 gp 6 sp
0,0,0,0,6,1 gp 2 sp
0,0,0,1,5,3 gp 4 sp
0,0,1,1,5,5 gp 4 sp
0,0,1,0,5,2 gp 0 sp
2,1,1,0,1,5 gp 4 sp
2,1,1,1,1,7 gp 5 sp
2,1,1,0,1,5 gp 4 sp
2,1,1,0,1,5 gp 4 sp
3,1,2,0,1,4 gp 2 sp
1,1,0,3,0,6 gp 3 sp
1,1,0,3,0,6 gp 3 sp
1,1,1,2,0,7 gp 2 sp
1,1,0,2,0,4 gp 2 sp
9,0,6,5,22,18 gp 2 sp
11,0,0,12,10,6 gp 5 sp
1,1,0,1,0,0 gp 0 sp
0,2,0,1,0,14 gp 7 sp
0,2,1,1,0,17 gp 7 sp
0,2,0,1,0,14 gp 7 sp
0,0,0,0,2,0 gp 4 sp
0,1,0,0,1,3 gp 2 sp
0,0,0,0,1,0 gp 2 sp
0,0,0,0,6,1 gp 2 sp
0,0,0,0,6,1 gp 2 sp
1,0,1,0,6,0 gp 0 sp
1,0,1,0,5,0 gp 0 sp
0,5,4,15,7,71 gp 2 sp
2,0,4,0,0,9 gp 6 sp
2,0,3,0,0,6 gp 6 sp
2,1,0,1,9,9 gp 3 sp
3,1,1,0,9,12 gp 0 sp
2,0,1,0,8,5 gp 4 sp
5,0,0,8,0,3 gp 5 sp
5,0,0,7,0,1 gp 8 sp
5,0,0,1,13,7 gp 2 sp
4,0,1,1,12,14 gp 0 sp
1,0,0,0,4,0 gp 0 sp
2,0,0,1,3,0 gp 0 sp
2,0,0,1,3,0 gp 0 sp
2,0,0,0,3,0 gp 0 sp
2,0,0,1,3,0 gp 0 sp
1,0,5,2,9,29 gp 2 sp
1,0,4,1,8,21 gp 6 sp
4,0,0,5,9,7 gp 2 sp
